request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.00,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,"Pay IDR 15,656,000 today. This leaves at least IDR 71,958,901.16 available."
request_27,6670.00,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,"Pay ZAR 6,670 today. This leaves at least ZAR 64,624.86 available."
request_28,429.49,affordable_later,wait,2024-07-15:1302.4,2024-07-15,none,"Pay EUR 1,302.4 in full on 2024-07-15. Paying earlier would risk the EUR 1,422.99 minimum."
request_29,19406.92,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-11-23. None of the available options keeps the ZAR 28,300 minimum protected."
request_30,775.20,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Use 3 installments of USD 268.74, starting 2026-04-06. This leaves at least USD 2,034.89 available."
request_31,5622969.36,affordable_later,wait,2024-10-15:18164000,2024-10-15,none,"Pay IDR 18,164,000 in full on 2024-10-15. Paying earlier would risk the IDR 22,211,869.36 minimum."
request_32,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-04-15. None of the available options keeps the ZAR 35,700 minimum protected."
request_33,46162.22,affordable_later,wait,2026-02-15:118000,2026-02-15,none,"Pay INR 118,000 in full on 2026-02-15. Paying earlier would risk the INR 148,262.22 minimum."
request_34,129400.00,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,"Pay INR 129,400 today. This leaves at least INR 405,551.66 available."
request_35,55303.66,affordable_later,wait,2025-12-15:212000,2025-12-15,none,"Pay INR 212,000 in full on 2025-12-15. Paying earlier would risk the INR 106,770.26 minimum."
request_36,921.23,affordable_later,wait,2026-08-15:3954,2026-08-15,none,"Pay USD 3,954 in full on 2026-08-15. Paying earlier would risk the USD 3,160.29 minimum."
request_37,6828914.15,affordable_later,wait,2024-04-15:14649000,2024-04-15,none,"Pay IDR 14,649,000 in full on 2024-04-15. Paying earlier would risk the IDR 23,434,685.19 minimum."
request_38,213.30,affordable_later,wait,2025-09-15:971.3,2025-09-15,none,Pay EUR 971.3 in full on 2025-09-15. Paying earlier would risk the EUR 528.76 minimum.
request_39,82378.32,affordable_later,wait,2026-05-15:208600,2026-05-15,none,"Pay INR 208,600 in full on 2026-05-15. Paying earlier would risk the INR 295,778.32 minimum."
request_40,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-08-15. None of the available options keeps the EUR 1,500 minimum protected."
request_41,13895313.67,affordable_later,wait,2025-12-15:38760000,2025-12-15,none,"Pay IDR 38,760,000 in full on 2025-12-15. Paying earlier would risk the IDR 39,261,913.67 minimum."
request_42,52100.00,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,"Pay INR 52,100 today. This leaves at least INR 177,587.56 available."
request_43,9868266.98,affordable_later,wait,2024-10-15:43339000,2024-10-15,none,"Pay IDR 43,339,000 in full on 2024-10-15. Paying earlier would risk the IDR 21,814,152.92 minimum."
request_44,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-04-15. None of the available options keeps the INR 82,900 minimum protected."
request_45,5270814.54,affordable_later,wait,2026-08-15:21983000,2026-08-15,none,"Pay IDR 21,983,000 in full on 2026-08-15. Paying earlier would risk the IDR 14,970,367.78 minimum."
request_46,49450.00,affordable_with_plan,installments,2024-12-03:25714|2024-12-31:25714,2024-12-03,none,"Use 2 installments of INR 25,714, starting 2024-12-03. This leaves at least INR 110,761.21 available."
request_47,38114000.00,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,"Pay IDR 38,114,000 today. This leaves at least IDR 40,878,535.59 available."
request_48,45700.00,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,"Pay INR 45,700 today. This leaves at least INR 100,073.55 available."
request_49,15786210.35,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-04-15,none,"Use 3 installments of IDR 11,902,106.67, starting 2024-03-18. This leaves at least IDR 36,061,910.35 available."
request_50,43900.00,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,"Pay INR 43,900 today. This leaves at least INR 162,035.60 available."
request_51,2191000.00,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,"Pay IDR 2,191,000 today. This leaves at least IDR 21,070,983.61 available."
request_52,21927.86,affordable_later,wait,2024-06-15:28870,2024-06-15,none,"Pay INR 28,870 in full on 2024-06-15. Paying earlier would risk the INR 63,427.86 minimum."
request_53,714.42,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2025-11-15,none,"Use 3 installments of USD 589.06, starting 2025-11-21. This leaves at least USD 2,814.42 available."
request_54,6458.84,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-08-21. None of the available options keeps the ZAR 37,000 minimum protected."
request_55,133498.57,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-06-15,none,"Use 3 installments of INR 75,781.33, starting 2026-06-11. This leaves at least INR 182,017.24 available."
request_56,777.10,affordable_with_plan,partial_payment,2025-02-03:777.10|2025-02-15:104.46,2025-02-15,none,"Pay USD 777.10 today and USD 104.46 on 2025-02-15. This completes the USD 881.56 payment by 2025-02-15 and leaves at least USD 2,100.00 available."
request_57,14724.02,affordable_later,wait,2026-05-15:61446,2026-05-15,none,"Pay ZAR 61,446 in full on 2026-05-15. Paying earlier would risk the ZAR 43,727.64 minimum."
request_58,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-01-25. None of the available options keeps the IDR 14,433,900 minimum protected."
request_59,140600.00,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Use 3 installments of INR 48,741.33, starting 2025-05-07. This leaves at least INR 532,249.58 available."
request_60,199.89,affordable_now,full_payment,2026-01-06:199.89,2026-01-06,none,Pay USD 199.89 today. This leaves at least USD 402.31 available.
request_61,29062.00,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use 3 installments of ZAR 10,074.83, starting 2024-03-17. This leaves at least ZAR 50,076.96 available."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"Pay USD 404.23 today. This leaves at least USD 4,424.88 available."
request_63,60509.98,affordable_with_plan,partial_payment,2026-07-07:60509.98|2026-08-15:283390.02,2026-08-15,none,"Pay INR 60,509.98 today and INR 283,390.02 on 2026-08-15. This completes the INR 343,900 payment by 2026-08-15 and leaves at least INR 153,500.00 available."
request_64,48241.60,affordable_with_plan,installments,2024-06-11:22082.67|2024-07-12:22082.67|2024-08-12:22082.67,2024-06-15,none,"Use 3 installments of INR 22,082.67, starting 2024-06-11. This leaves at least INR 62,258.93 available."
request_65,7114.42,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-11-25. None of the available options keeps the ZAR 15,500 minimum protected."
request_66,22200.00,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,"Pay INR 22,200 today. This leaves at least INR 240,826.17 available."
request_67,590.70,affordable_later,wait,2024-10-15:2094,2024-10-15,none,"Pay USD 2,094 in full on 2024-10-15. Paying earlier would risk the USD 1,790.70 minimum."
request_68,1631.00,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-02-23,none,"Use 3 installments of USD 725.09, starting 2025-02-14. This leaves at least USD 2,405.91 available."
request_69,529.10,affordable_now,full_payment,2026-01-04:529.1,2026-01-04,none,Pay EUR 529.1 today. This leaves at least EUR 834.36 available.
request_70,59952.21,affordable_later,wait,2025-02-15:243900,2025-02-15,none,"Pay INR 243,900 in full on 2025-02-15. Paying earlier would risk the INR 174,952.21 minimum."
request_71,2172849.03,not_affordable,not_recommended,none,2025-06-15,none,"Do not make this payment by 2025-05-28. None of the available options keeps the IDR 8,884,800 minimum protected."
request_72,4625.00,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-07-14. None of the available options keeps the ZAR 12,200 minimum protected."
request_73,71400.00,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,"Pay INR 71,400 today. This leaves at least INR 142,864.29 available."
request_74,5010.00,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,"Pay ZAR 5,010 today. This leaves at least ZAR 61,725.60 available."
request_75,28130.92,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-06-12. None of the available options keeps the ZAR 39,000 minimum protected."
request_76,1117.02,not_affordable,not_recommended,none,2024-07-15,none,"Do not make this payment by 2024-07-30. None of the available options keeps the USD 1,800 minimum protected."
request_77,60700.00,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,"Pay INR 60,700 today. This leaves at least INR 84,770.66 available."
request_78,50200.00,affordable_now,full_payment,2025-10-02:50200,2025-10-02,none,"Pay INR 50,200 today. This leaves at least INR 62,507.23 available."
request_79,470.03,not_affordable,not_recommended,none,2024-11-15,none,"Do not make this payment by 2024-11-01. None of the available options keeps the EUR 1,000 minimum protected."
request_80,125410.00,not_affordable,not_recommended,none,2025-04-15,none,"Do not make this payment by 2025-02-21. None of the available options keeps the INR 121,300 minimum protected."
request_81,2076.00,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,"Pay USD 2,076 today. This leaves at least USD 1,977.36 available."
request_82,628.74,affordable_later,wait,2025-01-15:1405.2,2025-01-15,none,"Pay USD 1,405.2 in full on 2025-01-15. Paying earlier would risk the USD 1,665.88 minimum."
request_83,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-06-17. None of the available options keeps the INR 37,800 minimum protected."
request_84,39339.39,affordable_later,wait,2026-04-15:95400,2026-04-15,none,"Pay INR 95,400 in full on 2026-04-15. Paying earlier would risk the INR 130,639.39 minimum."
request_85,1270712.29,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-04-26. None of the available options keeps the IDR 6,396,300 minimum protected."
request_86,6452.81,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-08-22. None of the available options keeps the INR 84,900 minimum protected."
request_87,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-03-15. None of the available options keeps the INR 185,900 minimum protected."
request_88,11959.79,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-06-15,none,"Use 3 installments of ZAR 9,045.23, starting 2024-06-14. This leaves at least ZAR 28,714.56 available."
request_89,10945379.21,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-11-15,none,"Use 3 installments of IDR 4,768,746.67, starting 2025-11-18. This leaves at least IDR 20,794,922.32 available."
request_90,2560.00,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,"Pay ZAR 2,560 today. This leaves at least ZAR 27,299.78 available."
request_91,728.87,affordable_later,wait,2024-10-15:1927.2,2024-10-15,none,"Pay EUR 1,927.2 in full on 2024-10-15. Paying earlier would risk the EUR 2,733.25 minimum."
request_92,34034.00,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,"Pay ZAR 34,034 today. This leaves at least ZAR 32,914.05 available."
request_93,1729.20,affordable_now,full_payment,2026-04-07:1729.2,2026-04-07,none,"Pay USD 1,729.2 today. This leaves at least USD 2,090.47 available."
request_94,572.00,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,"Pay EUR 572 today. This leaves at least EUR 1,955.23 available."
request_95,38005.17,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-07-14. None of the available options keeps the INR 145,500 minimum protected."
request_96,84764.35,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-01-15,none,"Use 3 installments of INR 31,269.33, starting 2026-01-10. This leaves at least INR 108,853.42 available."
request_97,2929.44,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-15,none,"Use 3 installments of ZAR 8,145.28, starting 2024-03-19. This leaves at least ZAR 32,629.44 available."
